,Project.Name,Address,Transacted Price,Price (psf),Date,Completion Year,Type.of.Sale,Postal.District,year,Level,TenureType_Ind,maxLevel,Nearest Sch,Distance_Sch,Nearest Stn,Distance_Stn,Avg area sqf,Dist_Sch_Label
0,N.A.,172 UPPER EAST COAST ROAD,4400000,1422,2022-01-14,2021,Resale,15,2022,1,Freehold,188,TEMASEK PRIMARY SCHOOL,1.542023584,SIGLAP MRT STATION,0.487976848,3094.65,2
1,PARC CLEMATIS,10 JALAN LEMPENG,4018000,1049,2020-10-28,Uncompleted,New Sale,5,2020,1,99-yr,24,NAN HUA PRIMARY SCHOOL,0.224244397,CLEMENTI MRT STATION,0.613491616,3831.98,1
2,PARC CLEMATIS,12 JALAN LEMPENG,3998888,1044,2020-09-09,Uncompleted,New Sale,5,2020,1,99-yr,24,NAN HUA PRIMARY SCHOOL,0.209463583,CLEMENTI MRT STATION,0.610292946,3831.98,1
3,PARC CLEMATIS,6 JALAN LEMPENG #12-01,3090000,1805,2022-05-03,Uncompleted,New Sale,5,2022,12,99-yr,24,NAN HUA PRIMARY SCHOOL,0.186527758,CLEMENTI MRT STATION,0.669039338,1711.48,1
4,PARC CLEMATIS,18 JALAN LEMPENG,4003888,1045,2019-09-01,Uncompleted,New Sale,5,2019,1,99-yr,24,NAN HUA PRIMARY SCHOOL,0.165799121,CLEMENTI MRT STATION,0.602959178,3831.98,1
5,LINK RESIDENCE @ HOLLAND,62 GREENLEAF ROAD,9300000,2134,2021-01-22,2017,Resale,10,2021,1,Freehold,1,HENRY PARK PRIMARY SCHOOL,0.643682561,DOVER MRT STATION,1.476176226,4358.34,1
6,LINK RESIDENCE @ HOLLAND,60 GREENLEAF ROAD,12500000,2766,2022-03-07,2017,Resale,10,2022,1,Freehold,1,HENRY PARK PRIMARY SCHOOL,0.63380175,DOVER MRT STATION,1.468389658,4519.8,1
7,WATER VILLAS,34 KOVAN ROAD,2650000,527,2019-07-01,2011,Resale,19,2019,1,Freehold,1,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.041357515,KOVAN MRT STATION,0.70589971,5026.79,2
8,N.A.,3 AROOZOO LANE,6680000,1327,2021-03-16,2021,Resale,19,2021,1,Freehold,188,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),0.555056819,KOVAN MRT STATION,0.710506534,5033.25,1
9,N.A.,34 MACKERROW ROAD,6000000,950,2019-07-01,2021,Resale,13,2019,1,Freehold,188,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.135573722,LORONG CHUAN MRT STATION,0.682567347,6316.32,2
10,N.A.,63 LORONG J TELOK KURAU,11000000,1016,2019-07-03,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,1.015379961,KEMBANGAN MRT STATION,0.873856835,10831.81,2
11,N.A.,63 LORONG J TELOK KURAU,9700000,896,2019-12-20,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,1.015379961,KEMBANGAN MRT STATION,0.873856835,10831.81,2
12,N.A.,20 KOVAN CLOSE,5580000,961,2019-07-05,2021,Resale,19,2019,1,Freehold,188,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.164967313,KOVAN MRT STATION,0.476826892,5807.18,2
13,N.A.,4A JALAN ASUHAN,9500000,1232,2019-07-05,2021,Resale,11,2019,1,Freehold,188,RAFFLES GIRLS' PRIMARY SCHOOL,1.182228981,BOTANIC GARDENS MRT STATION,0.585675761,7709.18,2
14,DUNEARN ESTATE,76 TREVOSE CRESCENT,8050000,1850,2019-07-09,2021,Resale,11,2019,1,Freehold,1,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),0.726897587,STEVENS MRT STATION,0.726372037,4351.89,1
15,N.A.,6 SUNSET DRIVE,7600000,1143,2019-07-09,2021,Resale,21,2019,1,Freehold,188,NAN HUA PRIMARY SCHOOL,1.001651478,CLEMENTI MRT STATION,1.16911101,6651.08,2
