,Postal.District,month_year,Median Price
0,1,2006-01-01,430.5
1,1,2006-02-01,391.0
2,1,2006-03-01,979.5
3,1,2006-04-01,510.5
4,1,2006-05-01,997.0
5,1,2006-06-01,397.0
6,1,2006-08-01,568.0
7,1,2006-09-01,484.0
8,1,2006-10-01,1045.0
9,1,2006-11-01,1025.0
10,1,2006-12-01,704.0
11,1,2007-01-01,1100.0
12,1,2007-02-01,991.0
13,1,2007-03-01,1079.0
14,1,2007-04-01,1067.5
15,1,2007-05-01,1306.0
16,1,2007-06-01,1373.0
17,1,2007-07-01,1431.0
18,1,2007-08-01,275.0
19,1,2007-09-01,1225.5
20,1,2007-10-01,1464.0
21,1,2007-11-01,1429.0
22,1,2007-12-01,600.0
23,1,2008-01-01,756.0
24,1,2008-02-01,905.0
25,1,2008-03-01,976.0
26,1,2008-04-01,1014.0
27,1,2008-05-01,917.0
28,1,2008-06-01,929.0
29,1,2008-07-01,880.0
30,1,2008-08-01,934.0
31,1,2008-09-01,1696.0
32,1,2008-10-01,1416.5
33,1,2008-11-01,748.0
34,1,2009-01-01,1600.0
35,1,2009-02-01,1880.0
36,1,2009-03-01,2010.0
37,1,2009-04-01,1768.0
38,1,2009-05-01,1090.5
39,1,2009-06-01,2050.0
40,1,2009-07-01,1759.0
41,1,2009-08-01,1781.0
42,1,2009-09-01,1791.5
43,1,2009-10-01,1901.0
44,1,2009-11-01,1951.0
45,1,2009-12-01,1868.0
46,1,2010-01-01,1860.5
47,1,2010-02-01,1931.0
48,1,2010-03-01,1870.0
49,1,2010-04-01,2080.0
50,1,2010-05-01,2120.0
51,1,2010-06-01,1169.0
52,1,2010-07-01,1881.0
53,1,2010-08-01,2021.0
54,1,2010-09-01,1497.0
55,1,2010-10-01,2055.0
56,1,2010-11-01,1791.0
57,1,2010-12-01,1984.0
58,1,2011-01-01,1910.0
59,1,2011-02-01,1940.5
60,1,2011-03-01,2200.5
61,1,2011-04-01,2266.0
62,1,2011-05-01,1904.0
63,1,2011-06-01,2555.0
64,1,2011-07-01,1954.0
65,1,2011-08-01,2001.0
66,1,2011-09-01,1963.5
67,1,2011-10-01,1755.0
68,1,2011-11-01,2276.0
69,1,2011-12-01,2225.0
70,1,2012-02-01,2145.0
71,1,2012-03-01,1711.0
72,1,2012-04-01,1860.0
73,1,2012-05-01,1900.0
74,1,2012-06-01,2101.0
75,1,2012-07-01,1812.0
76,1,2012-08-01,2284.5
77,1,2012-09-01,2114.0
78,1,2012-10-01,2023.0
79,1,2012-11-01,2196.0
80,1,2012-12-01,2398.0
81,1,2013-01-01,2449.0
82,1,2013-02-01,1936.0
83,1,2013-03-01,1567.5
84,1,2013-04-01,2424.0
85,1,2013-05-01,1580.0
86,1,2013-06-01,2025.5
87,1,2013-07-01,2163.5
88,1,2013-08-01,2100.0
89,1,2013-09-01,2082.5
90,1,2013-10-01,2042.0
91,1,2013-11-01,2280.0
92,1,2013-12-01,1903.0
93,1,2014-01-01,1902.5
94,1,2014-02-01,2286.5
95,1,2014-03-01,1944.5
96,1,2014-04-01,2033.5
97,1,2014-05-01,1972.0
98,1,2014-06-01,2249.0
99,1,2014-07-01,2000.0
100,1,2014-08-01,1983.5
101,1,2014-09-01,2027.0
102,1,2014-10-01,2158.0
103,1,2014-12-01,1909.0
104,1,2015-01-01,1898.0
105,1,2015-02-01,2275.0
106,1,2015-03-01,1908.5
107,1,2015-04-01,2410.5
108,1,2015-05-01,1863.0
109,1,2015-06-01,2075.0
110,1,2015-07-01,1795.0
111,1,2015-08-01,1957.5
112,1,2015-09-01,1769.5
113,1,2015-10-01,2119.0
114,1,2015-11-01,1874.0
115,1,2015-12-01,1606.5
116,1,2016-01-01,1891.0
117,1,2016-02-01,1684.0
118,1,2016-03-01,2020.0
119,1,2016-04-01,2225.0
