,District,Current Value,3 Years Value,5 Years Value,3Yr-ROI,5Yr-ROI
0,1,1910.5,2267.2557995510697,2409.7364908554073,0.18673425781265096,0.26131195543334584
1,2,2027.0,2139.709899680069,2240.4336951637097,0.055604291899392776,0.1052953602188997
2,3,1872.0,2178.066180457099,2343.929903531305,0.1634968912698179,0.25209930744193654
3,4,1825.0,1931.7334767331488,2045.388670406304,0.05848409684008153,0.12076091529112552
4,5,1515.5,1630.9482929076441,1748.3001846617592,0.07617835229801659,0.15361279093484606
5,8,1920.0,2214.0373504015115,2372.012717458537,0.15314445333412058,0.23542329034298792
6,9,1415.0,1744.7983993952125,1876.8129482012505,0.23307307377753536,0.3263695747005304
7,10,2062.5,2308.842593340735,2423.0883709909585,0.11943883313490193,0.17483072532894958
8,11,1983.0,2369.9737270162786,2532.8255905070973,0.19514560111763926,0.27726958674084584
9,12,1787.0,2000.6960522975646,2144.1480509556604,0.11958368903053421,0.19985901004793533
10,13,1526.5,1748.6272853660525,1875.228856941531,0.1455141076751081,0.22844995541534943
11,14,1551.0,1915.2967243570292,2068.2324916220396,0.23487861015927095,0.33348323121988366
12,15,1321.0,1582.534047153543,1700.7654611898888,0.197981867640835,0.28748331657069554
13,16,1639.0,1760.232852601961,1888.5334812306246,0.07396757327758449,0.15224739550373678
14,17,1349.0,1499.5842913358817,1603.7455660520834,0.11162660588278854,0.1888403010022857
15,18,1070.0,1193.738435849377,1274.5057100782735,0.11564339799007205,0.19112683184885376
16,19,1123.0,1301.7218515970312,1390.894926127779,0.159146795723091,0.2385529172998922
17,20,1256.5,1428.4545216975143,1532.93906394623,0.136851987025479,0.2200072136460246
18,21,1650.0,1838.8648039433858,1980.60438194423,0.11446351754144596,0.20036629208741213
19,22,1457.0,1707.433495688729,1828.1657242083968,0.17188297576439873,0.2547465505891536
20,23,1235.0,1370.5892499750253,1473.5449343075243,0.10978886637653867,0.1931537929615581
21,25,1240.0,1289.157809981168,1378.6620366685831,0.03964339514610317,0.11182422311982511
22,26,1065.0,1154.810489416781,1239.6856942271293,0.08432909804392574,0.16402412603486316
23,27,975.5,1262.0133051529901,1350.3429754623317,0.29370918006457214,0.3842572787927541
24,28,1105.0,1273.2008127079257,1363.5854115942461,0.15221793005242146,0.23401394714411414
