Project.Name,Address,Transacted Price,Price (psf),Date,Property.Type,Completion Year,Type.of.Sale,Postal.District,year,Level,TenureType_Ind,maxLevel,Nearest Sch,Distance_Sch,Nearest Stn,Distance_Stn,ENBLOC,Avg area sqf,Dist_Sch_Label
SEMBAWANG SPRINGS ESTATE,18 JALAN SHAER,2825000,1117,11/12/2020,Semi-Detached House,2021,Resale,27,2020,1,Freehold,1,CHONGFU SCHOOL,1.30762897,CANBERRA MRT STATION,0.538479422,0,2528.46,2
KENT RIDGE HILL RESIDENCES,58 SOUTH BUONA VISTA ROAD,3145800,1522,22/6/2021,Terrace House,Uncompleted,New Sale,5,2021,1,99-yr,5,FAIRFIELD METHODIST SCHOOL (PRIMARY),2.252480651,PASIR PANJANG MRT STATION,0.519278876,0,2066.69,3
CHARLTON RESIDENCES,3A CHARLTON ROAD,3055000,571,28/5/2021,Terrace House,2014,Resale,19,2021,1,Freehold,1,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),0.818279955,KOVAN MRT STATION,0.642598298,0,5349.71,1
NORMANTON PARK,1 NORMANTON PARK,3160000,1498,10/9/2021,Terrace House,Uncompleted,New Sale,5,2021,1,99-yr,24,FAIRFIELD METHODIST SCHOOL (PRIMARY),1.705318214,KENT RIDGE MRT STATION,1.196361137,0,2109.74,2
N.A.,172 UPPER EAST COAST ROAD,4400000,1422,14/1/2022,Detached House,2021,Resale,15,2022,1,Freehold,188,TEMASEK PRIMARY SCHOOL,1.542023584,SIGLAP MRT STATION,0.487976848,0,3094.65,2
PARC CLEMATIS,10 JALAN LEMPENG,4018000,1049,28/10/2020,Detached House,Uncompleted,New Sale,5,2020,1,99-yr,24,NAN HUA PRIMARY SCHOOL,0.224244397,CLEMENTI MRT STATION,0.613491616,0,3831.98,1
NORMANTON PARK,5 NORMANTON PARK,3150000,1493,18/11/2021,Terrace House,Uncompleted,New Sale,5,2021,1,99-yr,24,FAIRFIELD METHODIST SCHOOL (PRIMARY),1.706831889,KENT RIDGE MRT STATION,1.192999231,0,2109.74,2
PARC CLEMATIS,12 JALAN LEMPENG,3998888,1044,9/9/2020,Detached House,Uncompleted,New Sale,5,2020,1,99-yr,24,NAN HUA PRIMARY SCHOOL,0.209463583,CLEMENTI MRT STATION,0.610292946,0,3831.98,1
PARC CLEMATIS,6 JALAN LEMPENG #12-01,3090000,1805,3/5/2022,Detached House,Uncompleted,New Sale,5,2022,12,99-yr,24,NAN HUA PRIMARY SCHOOL,0.186527758,CLEMENTI MRT STATION,0.669039338,0,1711.48,1
PARC CLEMATIS,18 JALAN LEMPENG,4003888,1045,1/9/2019,Detached House,Uncompleted,New Sale,5,2019,1,99-yr,24,NAN HUA PRIMARY SCHOOL,0.165799121,CLEMENTI MRT STATION,0.602959178,0,3831.98,1
NORMANTON PARK,3 NORMANTON PARK,3150000,1493,24/12/2021,Terrace House,Uncompleted,New Sale,5,2021,1,99-yr,24,FAIRFIELD METHODIST SCHOOL (PRIMARY),1.706066136,KENT RIDGE MRT STATION,1.194665251,0,2109.74,2
LOTUS VILLE,142 LORONG L TELOK KURAU,3450000,839,3/1/2022,Terrace House,2017,Resale,15,2022,1,Freehold,1,TAO NAN SCHOOL,0.927332261,MARINE TERRACE MRT STATION,0.6579147,0,4111.85,1
NORMANTON PARK,13 NORMANTON PARK,3100000,1469,16/9/2021,Terrace House,Uncompleted,New Sale,5,2021,1,99-yr,24,FAIRFIELD METHODIST SCHOOL (PRIMARY),1.752559437,PASIR PANJANG MRT STATION,1.171169618,0,2109.74,2
PALACIO,63 LORONG M TELOK KURAU,2820000,720,4/12/2020,Terrace House,2015,Resale,15,2020,1,Freehold,1,TAO NAN SCHOOL,0.744136929,MARINE TERRACE MRT STATION,0.545954668,0,3918.1,1
LINK RESIDENCE @ HOLLAND,62 GREENLEAF ROAD,9300000,2134,22/1/2021,Detached House,2017,Resale,10,2021,1,Freehold,1,HENRY PARK PRIMARY SCHOOL,0.643682561,DOVER MRT STATION,1.476176226,0,4358.34,1
N.A.,131 JOO CHIAT PLACE,4200000,2811,2/8/2021,Terrace House,2021,Resale,15,2021,1,Freehold,188,TAO NAN SCHOOL,1.342718872,EUNOS MRT STATION,0.647346908,0,1494.04,2
LINK RESIDENCE @ HOLLAND,60 GREENLEAF ROAD,12500000,2766,7/3/2022,Detached House,2017,Resale,10,2022,1,Freehold,1,HENRY PARK PRIMARY SCHOOL,0.63380175,DOVER MRT STATION,1.468389658,0,4519.8,1
JEWEL @ CHUAN HOE,50 CHUAN HOE AVENUE,2750000,566,21/3/2022,Terrace House,2010,Resale,19,2022,1,999-yr,1,XINMIN PRIMARY SCHOOL,0.900639751,KOVAN MRT STATION,0.96572161,0,4854.56,1
KISMIS RESIDENCES,10 ENG KONG TERRACE,4600000,2845,1/6/2022,Terrace House,2018,Resale,21,2022,1,Freehold,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0.876058142,BEAUTY WORLD MRT STATION,0.967604367,0,1616.75,1
WATER VILLAS,34 KOVAN ROAD,2650000,527,1/7/2019,Detached House,2011,Resale,19,2019,1,Freehold,1,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.041357515,KOVAN MRT STATION,0.70589971,0,5026.79,2
CHARLTON 27,29B SURIN AVENUE,3160000,664,29/7/2021,Terrace House,2016,Resale,19,2021,1,Freehold,1,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),0.807434211,KOVAN MRT STATION,0.685476138,0,4757.69,1
KENT RIDGE HILL RESIDENCES,56 SOUTH BUONA VISTA ROAD,3108000,1504,18/2/2021,Terrace House,Uncompleted,New Sale,5,2021,1,99-yr,5,FAIRFIELD METHODIST SCHOOL (PRIMARY),2.280669481,PASIR PANJANG MRT STATION,0.496798442,0,2066.69,3
THE MORRIS RESIDENCES,63 PAYA LEBAR CRESCENT,3100000,809,24/6/2022,Terrace House,2016,Resale,19,2022,1,Freehold,1,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),0.116535579,BARTLEY MRT STATION,0.842370546,0,3831.98,1
CHARLTON RESIDENCES,3B CHARLTON ROAD,3050000,570,1/11/2021,Terrace House,2014,Resale,19,2021,1,Freehold,1,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),0.823379134,KOVAN MRT STATION,0.642003228,0,5349.71,1
N.A.,3 AROOZOO LANE,6680000,1327,16/3/2021,Detached House,2021,Resale,19,2021,1,Freehold,188,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),0.555056819,KOVAN MRT STATION,0.710506534,0,5033.25,1
NORMANTON PARK,9 NORMANTON PARK,3150000,1493,6/6/2021,Terrace House,Uncompleted,New Sale,5,2021,1,99-yr,24,FAIRFIELD METHODIST SCHOOL (PRIMARY),1.708411414,KENT RIDGE MRT STATION,1.189766096,0,2109.74,2
ONE TREE HILL COLLECTION,12 ONE TREE HILL,9180000,3124,3/6/2021,Semi-Detached House,Uncompleted,New Sale,10,2021,1,Freehold,1,ANGLO-CHINESE SCHOOL (JUNIOR),1.927731531,ORCHARD BOULEVARD MRT STATION,0.246867914,0,2938.57,2
N.A.,"15,15A PILLAI ROAD",3480000,1703,23/12/2020,Terrace House,2021,Resale,19,2020,1,Freehold,188,MARIS STELLA HIGH SCHOOL,0.549312383,BARTLEY MRT STATION,0.456705927,0,2043.01,1
WESTVILLE,155 WESTWOOD CRESCENT,1360000,842,1/7/2019,Terrace House,1998,Resale,22,2019,1,99-yr,1,WESTWOOD PRIMARY SCHOOL,0.646642111,PIONEER MRT STATION,1.715788861,0,1615.68,1
HILLCREST VILLA,13R HILLCREST ROAD,2930000,948,1/7/2019,Terrace House,2009,Resale,11,2019,1,99-yr,1,RAFFLES GIRLS' PRIMARY SCHOOL,0.134584762,TAN KAH KEE MRT STATION,0.431000645,0,3089.27,1
NIM COLLECTION,32 NIM TERRACE,3300000,1474,1/7/2019,Terrace House,Uncompleted,New Sale,28,2019,1,99-yr,1,ROSYTH SCHOOL,1.441837137,ANG MO KIO MRT STATION,1.879281291,0,2238.91,2
N.A.,34 MACKERROW ROAD,6000000,950,1/7/2019,Detached House,2021,Resale,13,2019,1,Freehold,188,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.135573722,LORONG CHUAN MRT STATION,0.682567347,0,6316.32,2
N.A.,23 LORONG J TELOK KURAU,5500000,850,1/7/2019,Semi-Detached House,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,1.037757329,EUNOS MRT STATION,0.817597088,0,6473.47,2
N.A.,71A WOLSKEL ROAD,3750000,948,1/7/2019,Semi-Detached House,2021,Resale,13,2019,1,Freehold,188,MARIS STELLA HIGH SCHOOL,1.120232043,SERANGOON MRT STATION,0.537287181,0,3953.62,2
LOYANG VILLAS,19 LOYANG VIEW,1750000,813,1/7/2019,Terrace House,1996,Resale,17,2019,1,99-yr,1,PASIR RIS PRIMARY SCHOOL,1.046771471,TAMPINES EAST MRT STATION,1.448216092,0,2152.8,2
N.A.,63 LORONG J TELOK KURAU,11000000,1016,3/7/2019,Detached House,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,1.015379961,KEMBANGAN MRT STATION,0.873856835,0,10831.81,2
N.A.,63 LORONG J TELOK KURAU,9700000,896,20/12/2019,Detached House,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,1.015379961,KEMBANGAN MRT STATION,0.873856835,0,10831.81,2
FABER HILLS,8 FABER GREEN,3025000,1439,4/7/2019,Terrace House,2008,Resale,5,2019,1,Freehold,1,NAN HUA PRIMARY SCHOOL,0.30607918,CLEMENTI MRT STATION,0.887926488,0,2102.21,1
FABER HILLS,8 FABER GREEN,3580000,1703,6/7/2021,Terrace House,2008,Resale,5,2021,1,Freehold,1,NAN HUA PRIMARY SCHOOL,0.30607918,CLEMENTI MRT STATION,0.887926488,0,2102.21,1
THE SHAUGHNESSY,302 MILTONIA CLOSE,1485000,452,5/7/2019,Terrace House,2006,Resale,27,2019,1,99-yr,1,NORTHLAND PRIMARY SCHOOL,0.768077236,KHATIB MRT STATION,1.493387492,0,3283.02,1
N.A.,254 BEDOK ROAD,428000,100,5/7/2019,Semi-Detached House,2021,Resale,16,2019,1,99-yr,188,TEMASEK PRIMARY SCHOOL,1.384868911,TANAH MERAH MRT STATION,0.429072219,0,4299.14,2
N.A.,20 KOVAN CLOSE,5580000,961,5/7/2019,Detached House,2021,Resale,19,2019,1,Freehold,188,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.164967313,KOVAN MRT STATION,0.476826892,0,5807.18,2
N.A.,16B RICHARDS AVENUE,2280000,1336,5/7/2019,Terrace House,2021,Resale,19,2019,1,Freehold,188,XINMIN PRIMARY SCHOOL,1.093538142,KOVAN MRT STATION,0.368110719,0,1706.09,2
